Player Name,Agent Name,R,ACS,K,D,K/D +/–,+/–,ADR,HS%,FK,FK/FD +/–,+/–,Team Name,Map Name,Map #,Unique Enum,Stage,Series,winner,rounds,Id
Karon,Omen,"0.53
0.83
0.31","81
117
55","5
3
2","

16
6
10

","7
4
3","-11
-3
-8","59
72
49","21%
23%
18%","0
0
0","2
0
2","-2
0
-2",Gen.G,Sunset,3,2967453,Group Stage,Opening (C),Gen.G,"0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1",2
Estrella,Fade,"1.27
1.22
1.35","245
241
252","19
11
8","

13
10
3

","8
5
3","+6
+1
+5","156
162
147","36%
30%
47%","1
0
1","1
0
1","0
0
0",Rex Regum Qeon,Sunset,3,2967453,Group Stage,Opening (C),Gen.G,"1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0",2
Jemkin,Raze,"1.08
0.84
1.40","259
239
286","20
11
9","

16
12
4

","1
0
1","+4
-1
+5","148
127
177","22%
30%
16%","6
4
2","3
3
0","+3
+1
+2",Rex Regum Qeon,Sunset,3,2967453,Group Stage,Opening (C),Gen.G,"1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0",2
xffero,Harbor,"0.92
1.12
0.65","175
224
110","15
11
4","

16
10
6

","9
7
2","-1
+1
-2","98
122
67","26%
24%
30%","0
0
0","2
1
1","-2
-1
-1",Rex Regum Qeon,Sunset,3,2967453,Group Stage,Opening (C),Gen.G,"1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0",2
fl1pzjder,Omen,"0.73
0.36
1.22","185
60
352","12
2
10","

20
12
8

","10
3
7","-8
-10
+2","112
47
198","26%
9%
33%","1
0
1","4
3
1","-3
-3
0",Rex Regum Qeon,Sunset,3,2967453,Group Stage,Opening (C),Gen.G,"1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0",2
Lmemore,Cypher,"0.64
0.91
0.28","146
239
23","10
9
1","

17
11
6

","3
3
0","-7
-2
-5","104
168
17","43%
50%
0%","0
0
0","3
1
2","-3
-1
-2",Rex Regum Qeon,Sunset,3,2967453,Group Stage,Opening (C),Gen.G,"1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0",2
SugarZ3ro,Brimstone,"1.23
1.90
0.61","228
339
127","19
14
5","

14
5
9

","10
6
4","+5
+9
-4","153
208
102","26%
30%
20%","1
1
0","1
0
1","0
+1
-1",ZETA DIVISION,Bind,1,2967301,Group Stage,Opening (A),ZETA DIVISION,"1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1",3
Dep,Raze,"1.15
0.73
1.53","243
193
290","20
7
13","

15
9
6

","1
1
0","+5
-2
+7","166
144
186","33%
67%
17%","4
2
2","4
3
1","0
-1
+1",ZETA DIVISION,Bind,1,2967301,Group Stage,Opening (A),ZETA DIVISION,"1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1",3
yuran,Viper,"1.13
0.94
1.29","218
209
227","18
8
10","

14
8
6

","4
3
1","+4
0
+4","140
139
140","30%
37%
25%","4
2
2","3
2
1","+1
0
+1",ZETA DIVISION,Bind,1,2967301,Group Stage,Opening (A),ZETA DIVISION,"1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1",3
hiroronn,Skye,"1.05
1.27
0.85","181
238
129","14
9
5","

12
5
7

","6
2
4","+2
+4
-2","116
153
83","24%
32%
15%","2
1
1","1
0
1","+1
+1
0",ZETA DIVISION,Bind,1,2967301,Group Stage,Opening (A),ZETA DIVISION,"1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1",3
Laz,Cypher,"0.85
0.70
0.98","176
111
237","16
5
11","

17
8
9

","4
3
1","-1
-3
+2","113
96
129","28%
50%
18%","3
0
3","0
0
0","+3
0
+3",ZETA DIVISION,Bind,1,2967301,Group Stage,Opening (A),ZETA DIVISION,"1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1",3
Benkai,Cypher,"0.92
0.73
1.12","156
138
177","13
7
6","

15
8
7

","4
1
3","-2
-1
-1","112
101
124","30%
24%
38%","0
0
0","2
1
1","-2
-1
-1",Global Esports,Bind,1,2967301,Group Stage,Opening (A),ZETA DIVISION,"0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0",3
blaZek1ng,Gekko,"0.87
0.85
0.88","185
164
209","15
7
8","

19
10
9

","1
0
1","-4
-3
-1","128
115
142","37%
39%
35%","1
0
1","3
1
2","-2
-1
-1",Global Esports,Bind,1,2967301,Group Stage,Opening (A),ZETA DIVISION,"0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0",3
Lightningfast,Viper,"0.82
0.56
1.11","160
114
211","14
5
9","

17
9
8

","2
1
1","-3
-4
+1","98
84
113","33%
25%
41%","2
0
2","3
3
0","-1
-3
+2",Global Esports,Bind,1,2967301,Group Stage,Opening (A),ZETA DIVISION,"0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0",3
Russ,Kayo,"0.81
1.15
0.45","180
246
109","15
11
4","

17
8
9

","5
5
0","-2
+3
-5","108
137
75","23%
18%
36%","2
2
0","1
0
1","+1
+2
-1",Global Esports,Bind,1,2967301,Group Stage,Opening (A),ZETA DIVISION,"0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0",3
Polvi,Raze,"0.78
0.84
0.71","210
239
179","15
10
5","

19
9
10

","3
2
1","-4
+1
-5","145
161
127","18%
20%
15%","4
2
2","5
3
2","-1
-1
0",Global Esports,Bind,1,2967301,Group Stage,Opening (A),ZETA DIVISION,"0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0",3
yuran,Viper,"1.61
2.00
1.35","262
357
199","20
11
9","

9
3
6

","8
4
4","+11
+8
+3","181
233
146","25%
32%
21%","3
3
0","1
1
0","+2
+2
0",ZETA DIVISION,Icebox,2,2967302,Group Stage,Opening (A),ZETA DIVISION,"1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1",3
