,Player Name,Agent Name,R,ACS,K,D,K/D +/–,+/–,ADR,HS%,FK,FK/FD +/–,+/–,Team Name,Map Name,Map #,Stage,Series
64,nataNk,Raze,"0.86
0.79
0.94","207
176
241","14
6
8","

17
9
8

","4
2
2","-3
-3
0","147
127
169","21%
29%
17%","3
2
1","5
2
3","-2
0
-2",Gentle Mates,Split,1,Playoffs,Lower Round 1
65,Fizzy,Viper,"0.95
1.22
0.70","139
189
94","12
8
4","

13
6
7

","5
2
3","-1
+2
-3","93
120
67","28%
27%
30%","0
0
0","2
0
2","-2
0
-2",SAW,Split,1,Playoffs,Lower Round 1
66,tomaszy,Raze,"0.94
0.55
1.30","264
169
353","20
6
14","

21
10
11

","1
0
1","-1
-4
+3","158
107
204","25%
17%
31%","8
4
4","3
2
1","+5
+2
+3",SAW,Split,1,Playoffs,Lower Round 1
67,Addicted,Sage,"0.94
0.95
0.93","192
198
188","16
8
8","

19
9
10

","4
1
3","-3
-1
-2","123
131
115","60%
71%
50%","1
0
1","0
0
0","+1
0
+1",SAW,Split,1,Playoffs,Lower Round 1
68,DaviH,Astra,"0.89
0.67
1.10","182
126
234","14
4
10","

18
9
9

","2
1
1","-4
-5
+1","120
91
147","27%
29%
26%","3
1
2","2
2
0","+1
-1
+2",SAW,Split,1,Playoffs,Lower Round 1
69,Bati,Skye,"0.81
0.85
0.76","121
136
108","10
5
5","

16
8
8

","11
6
5","-6
-3
-3","75
83
68","27%
19%
35%","2
1
1","2
1
1","0
0
0",SAW,Split,1,Playoffs,Lower Round 1
70,logaN,Killjoy,"1.08
1.32
0.94","209
308
153","13
8
5","

13
6
7

","2
1
1","0
+2
-2","151
202
122","26%
30%
22%","1
0
1","2
1
1","-1
-1
0",Gentle Mates,Ascent,2,Playoffs,Lower Round 1
71,Wailers,Omen,"0.95
0.23
1.37","189
155
210","15
4
11","

13
8
5

","0
0
0","+2
-4
+6","124
82
149","29%
25%
30%","0
0
0","2
1
1","-2
-1
-1",Gentle Mates,Ascent,2,Playoffs,Lower Round 1
72,nataNk,Phoenix,"0.84
0.33
1.13","245
153
299","14
3
11","

17
7
10

","9
1
8","-3
-4
+1","152
109
178","13%
38%
9%","4
0
4","3
2
1","+1
-2
+3",Gentle Mates,Ascent,2,Playoffs,Lower Round 1
73,TakaS,Jett,"0.82
0.37
1.09","164
111
195","11
2
9","

15
7
8

","1
1
0","-4
-5
+1","108
70
130","14%
8%
17%","1
1
0","5
2
3","-4
-1
-3",Gentle Mates,Ascent,2,Playoffs,Lower Round 1
74,beyAz,Fade,"0.79
0.51
0.95","147
160
140","7
3
4","

14
7
7

","7
2
5","-7
-4
-3","100
89
106","36%
21%
50%","1
0
1","0
0
0","+1
0
+1",Gentle Mates,Ascent,2,Playoffs,Lower Round 1
75,Fizzy,Killjoy,"1.43
1.49
1.34","294
300
286","21
12
9","

11
6
5

","3
3
0","+10
+6
+4","194
186
207","34%
24%
58%","1
0
1","0
0
0","+1
0
+1",SAW,Ascent,2,Playoffs,Lower Round 1
76,Bati,Sova,"1.33
1.17
1.60","277
256
316","18
10
8","

11
8
3

","8
5
3","+7
+2
+5","186
168
217","28%
26%
30%","3
2
1","1
0
1","+2
+2
0",SAW,Ascent,2,Playoffs,Lower Round 1
77,tomaszy,Phoenix,"1.05
0.86
1.39","247
229
279","18
10
8","

15
9
6

","5
3
2","+3
+1
+2","156
132
198","38%
32%
47%","3
3
0","3
3
0","0
0
0",SAW,Ascent,2,Playoffs,Lower Round 1
78,DaviH,Jett,"0.88
0.49
1.56","157
93
267","11
4
7","

12
9
3

","1
1
0","-1
-5
+4","92
57
153","18%
13%
29%","3
0
3","1
1
0","+2
-1
+3",SAW,Ascent,2,Playoffs,Lower Round 1
79,Addicted,Omen,"0.81
0.64
1.11","90
82
104","4
2
2","

11
8
3

","12
6
6","-7
-6
-1","71
62
86","19%
31%
15%","2
1
1","2
2
0","0
-1
+1",SAW,Ascent,2,Playoffs,Lower Round 1
80,nataNk,Breach,"1.42
0.93
1.63","273
103
344","17
2
15","

10
3
7

","8
3
5","+7
-1
+8","161
41
211","34%
0%
40%","2
0
2","3
1
2","-1
-1
0",Gentle Mates,Haven,3,Playoffs,Lower Round 1
81,beyAz,Sova,"1.33
1.92
1.08","257
342
222","16
7
9","

11
2
9

","2
1
1","+5
+5
0","176
213
160","23%
50%
16%","1
0
1","1
1
0","0
-1
+1",Gentle Mates,Haven,3,Playoffs,Lower Round 1
82,Wailers,Omen,"1.11
1.20
1.08","177
165
183","11
3
8","

11
3
8

","5
1
4","0
0
0","114
118
113","32%
38%
30%","0
0
0","0
0
0","0
0
0",Gentle Mates,Haven,3,Playoffs,Lower Round 1
83,TakaS,Jett,"1.02
0.92
1.06","192
175
199","12
3
9","

12
4
8

","4
1
3","0
-1
+1","130
139
126","29%
18%
35%","4
1
3","4
1
3","0
0
0",Gentle Mates,Haven,3,Playoffs,Lower Round 1
84,logaN,Killjoy,"0.83
0.95
0.78","163
186
154","10
3
7","

12
3
9

","3
2
1","-2
0
-2","105
127
96","8%
11%
7%","0
0
0","2
1
1","-2
-1
-1",Gentle Mates,Haven,3,Playoffs,Lower Round 1
