Player Name,Agent Name,R,ACS,K,D,K/D +/–,+/–,ADR,HS%,FK,FK/FD +/–,+/–,Team Name,Map Name,Map #,Stage,Series,winner,rounds,Id
Fit1nho,Raze,"0.59
0.63
0.49","145
182
60","6
6
0","

15
11
4

","3
0
3","-9
-5
-4","104
123
60","14%
19%
0%","1
1
0","2
1
1","-1
0
-1",GIANTX,Lotus,3,Group Stage,Opening (A),Karmine Corp,"0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0",2
Redgar,Omen,"0.50
0.45
0.65","126
141
92","6
5
1","

16
12
4

","4
4
0","-10
-7
-3","87
93
72","28%
38%
11%","2
1
1","1
1
0","+1
0
+1",GIANTX,Lotus,3,Group Stage,Opening (A),Karmine Corp,"0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0",2
hoody,Viper,"0.36
0.35
0.39","101
110
81","6
4
2","

15
11
4

","0
0
0","-9
-7
-2","71
73
65","18%
20%
14%","1
1
0","6
5
1","-5
-4
-1",GIANTX,Lotus,3,Group Stage,Opening (A),Karmine Corp,"0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0",2
N4RRATE,Fade,"1.65
1.44
1.74","303
291
309","18
5
13","

8
3
5

","6
0
6","+10
+2
+8","205
183
214","30%
20%
34%","1
1
0","0
0
0","+1
+1
0",Karmine Corp,Lotus,3,Group Stage,Opening (A),Karmine Corp,"1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1",2
MAGNUM,Killjoy,"1.32
0.58
1.63","250
124
303","17
2
15","

8
3
5

","3
0
3","+9
-1
+10","189
112
221","30%
14%
33%","2
0
2","3
1
2","-1
-1
0",Karmine Corp,Lotus,3,Group Stage,Opening (A),Karmine Corp,"1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1",2
tomaszy,Viper,"1.30
1.43
1.25","215
259
198","14
5
9","

8
2
6

","3
1
2","+6
+3
+3","134
151
127","41%
30%
45%","4
1
3","1
0
1","+3
+1
+2",Karmine Corp,Lotus,3,Group Stage,Opening (A),Karmine Corp,"1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1",2
marteen,Raze,"1.27
1.22
1.29","238
176
264","15
4
11","

10
2
8

","4
0
4","+5
+2
+3","146
101
164","16%
17%
16%","2
1
1","2
1
1","0
0
0",Karmine Corp,Lotus,3,Group Stage,Opening (A),Karmine Corp,"1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1",2
sh1n,Omen,"0.92
0.71
1.01","110
101
114","7
2
5","

8
3
5

","8
1
7","-1
-1
0","80
73
83","37%
40%
36%","1
0
1","1
0
1","0
0
0",Karmine Corp,Lotus,3,Group Stage,Opening (A),Karmine Corp,"1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1",2
Shao,Brimstone,"1.36
1.39
1.32","249
301
180","18
12
6","

14
10
4

","11
7
4","+4
+2
+2","179
212
136","31%
30%
33%","0
0
0","2
2
0","-2
-2
0",Natus Vincere,Bind,1,Group Stage,Opening (B),Natus Vincere,"0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0",3
ardiis,Kayo,"1.09
0.65
1.68","232
150
343","18
5
13","

17
11
6

","13
12
1","+1
-6
+7","151
102
216","22%
19%
24%","0
0
0","1
1
0","-1
-1
0",Natus Vincere,Bind,1,Group Stage,Opening (B),Natus Vincere,"0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0",3
SUYGETSU,Viper,"0.84
0.95
0.68","204
238
161","14
12
2","

15
8
7

","5
2
3","-1
+4
-5","141
160
116","36%
45%
27%","3
2
1","3
1
2","0
+1
-1",Natus Vincere,Bind,1,Group Stage,Opening (B),Natus Vincere,"0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0",3
Zyppan,Raze,"0.78
0.58
1.03","211
174
261","14
8
6","

17
11
6

","5
1
4","-3
-3
0","158
133
193","20%
29%
13%","4
2
2","4
1
3","0
+1
-1",Natus Vincere,Bind,1,Group Stage,Opening (B),Natus Vincere,"0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0",3
