Player Name,Agent Name,R,ACS,K,D,K/D +/–,+/–,ADR,HS%,FK,FK/FD +/–,+/–,Team Name,Map Name,Map #,Stage,Series,winner,rounds,Id
jzz,Skye,"1.17
0.77
1.55","222
124
312","18
4
14","

17
9
8

","6
3
3","+1
-5
+6","138
92
181","27%
12%
40%","4
0
4","0
0
0","+4
0
+4",MIBR,Lotus,3,Group Stage,Opening (A),Cloud9,"1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0",2
mazin,Viper,"1.00
0.80
1.19","202
199
206","16
9
7","

16
9
7

","11
1
10","0
0
0","132
128
135","16%
43%
7%","4
3
1","2
1
1","+2
+2
0",MIBR,Lotus,3,Group Stage,Opening (A),Cloud9,"1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0",2
artzin,Raze,"0.99
0.59
1.35","220
172
265","17
6
11","

16
10
6

","2
1
1","+1
-4
+5","147
102
189","19%
10%
30%","1
1
0","3
2
1","-2
-1
-1",MIBR,Lotus,3,Group Stage,Opening (A),Cloud9,"1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0",2
RgLMeister,Omen,"0.99
0.83
1.14","181
233
135","14
8
6","

13
8
5

","10
4
6","+1
0
+1","119
151
90","41%
44%
36%","0
0
0","3
1
2","-3
-1
-2",MIBR,Lotus,3,Group Stage,Opening (A),Cloud9,"1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0",2
frz,Killjoy,"0.87
0.74
0.99","161
181
143","13
6
7","

17
10
7

","9
4
5","-4
-4
0","115
128
103","11%
13%
8%","3
3
0","3
0
3","0
+3
-3",MIBR,Lotus,3,Group Stage,Opening (A),Cloud9,"1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0",2
Quick,Raze,"1.17
0.59
1.76","261
163
361","22
6
16","

16
10
6

","5
1
4","+6
-4
+10","173
103
243","20%
7%
28%","5
0
5","6
6
0","-1
-6
+5",LOUD,Split,1,Group Stage,Opening (B),LOUD,"0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1",3
cauanzin,Breach,"1.10
1.07
1.14","212
276
149","18
13
5","

15
9
6

","5
1
4","+3
+4
-1","126
162
90","33%
45%
16%","2
0
2","0
0
0","+2
0
+2",LOUD,Split,1,Group Stage,Opening (B),LOUD,"0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1",3
tuyz,Omen,"1.10
0.94
1.26","177
201
154","13
7
6","

14
9
5

","18
7
11","-1
-2
+1","110
136
84","35%
32%
42%","0
0
0","1
1
0","-1
-1
0",LOUD,Split,1,Group Stage,Opening (B),LOUD,"0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1",3
saadhak,Skye,"1.09
0.40
1.77","226
80
372","19
2
17","

20
11
9

","10
5
5","-1
-9
+8","139
53
226","19%
5%
25%","1
0
1","4
2
2","-3
-2
-1",LOUD,Split,1,Group Stage,Opening (B),LOUD,"0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1",3
Less,Viper,"0.96
0.88
1.03","157
181
134","14
9
5","

13
8
5

","9
3
6","+1
+1
0","100
114
86","42%
55%
33%","2
1
1","3
2
1","-1
-1
0",LOUD,Split,1,Group Stage,Opening (B),LOUD,"0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1",3
zekken,Raze,"1.23
0.83
1.63","257
183
332","22
7
15","

17
10
7

","4
3
1","+5
-3
+8","163
122
203","16%
14%
19%","7
2
5","4
3
1","+3
-1
+4",Sentinels,Split,1,Group Stage,Opening (B),LOUD,"1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0",3
TenZ,Omen,"1.13
0.83
1.44","234
210
259","19
8
11","

16
10
6

","6
4
2","+3
-2
+5","151
128
173","40%
35%
42%","3
0
3","0
0
0","+3
0
+3",Sentinels,Split,1,Group Stage,Opening (B),LOUD,"1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0",3
